epoch,time,train/loss_bbox,train/loss_ce,train/loss_contrastive,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
145,805.617,0.0403962,0.166831,0.00114718,0.159631,0.300632,0.211139,0.300632,0.8515,0.037386,0.168901,0.170148,0.0001,1e-05
146,810.541,0.0436048,0.168352,0.00090923,0.151783,0.283302,0.192112,0.283302,0.859375,0.044141,0.175993,0.182593,0.0001,1e-05
147,815.271,0.0465213,0.166301,0.0013603,0.160481,0.286167,0.184957,0.286167,0.86075,0.044103,0.175505,0.173132,0.0001,1e-05
148,819.765,0.041983,0.158027,0.000863059,0.160711,0.278776,0.191556,0.278776,0.87025,0.0416695,0.170363,0.17202,0.0001,1e-05
149,824.176,0.0420406,0.161018,0.00131167,0.153568,0.308487,0.226846,0.308487,0.88075,0.0424714,0.154798,0.174354,0.0001,1e-05
150,828.96,0.0474807,0.157752,0.000962865,0.181065,0.329214,0.233324,0.329214,0.8555,0.0463124,0.162321,0.187188,0.0001,1e-05
151,833.939,0.0467336,0.154635,0.00127034,0.169171,0.353544,0.257595,0.353544,0.85825,0.0477799,0.156638,0.195847,0.0001,1e-05
152,838.785,0.0529894,0.156066,0.00106909,0.185526,0.381689,0.269779,0.381689,0.87075,0.0424052,0.161925,0.162496,0.0001,1e-05
153,843.199,0.055451,0.155155,0.00101234,0.190154,0.342772,0.24907,0.342772,0.881625,0.043176,0.145128,0.17314,0.0001,1e-05
154,848.035,0.0404729,0.155588,0.00103024,0.164553,0.337298,0.224243,0.337298,0.867625,0.0537623,0.144329,0.200875,0.0001,1e-05
155,852.909,0.0495101,0.141253,0.00100216,0.179328,0.327442,0.215443,0.327442,0.8745,0.0420864,0.14335,0.176664,0.0001,1e-05
156,857.668,0.0522947,0.134826,0.000942047,0.180539,0.342767,0.233784,0.342767,0.875625,0.0513733,0.13217,0.205856,0.0001,1e-05
157,862.671,0.0523512,0.137281,0.000965035,0.184229,0.362798,0.237273,0.362798,0.867875,0.0528995,0.137876,0.197321,0.0001,1e-05
158,867.212,0.0580191,0.130558,0.00119779,0.183889,0.359891,0.229584,0.359891,0.8975,0.053264,0.125106,0.20044,0.0001,1e-05
159,871.545,0.0574047,0.133884,0.00124654,0.20294,0.354595,0.250691,0.354595,0.868125,0.0599741,0.122381,0.210687,0.0001,1e-05
