source,epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
_2d2_1d6_nm20_a10_b150,3,102.94,0.0928246,0.252996,0.00233156,0.000478006,0.357759,0.0590505,0.0343483,0.122807,0.0933333,0.0962657,0.252193,0.313998,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,4,137.268,0.0868686,0.249569,0.00266637,0.000544662,0.323773,0.0807423,0.051826,0.2,0.16,0.10431,0.24898,0.349968,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,5,172.01,0.0836346,0.241546,0.00268483,0.000560709,0.314934,0.0771206,0.036031,0.135135,0.2,0.116154,0.227431,0.430232,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,6,205.58,0.0901218,0.233057,0.00243183,0.000504764,0.324019,0.065545,0.0359133,0.0777778,0.186667,0.110039,0.23691,0.414794,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,7,237.887,0.0817454,0.242296,0.00215079,0.000465865,0.30943,0.0833616,0.0520909,0.10596,0.213333,0.082255,0.234803,0.314395,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,8,272.304,0.0795356,0.238119,0.00236168,0.000508768,0.306418,0.0913928,0.0425148,0.0887097,0.146667,0.0886196,0.236942,0.299047,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,9,305.016,0.0821204,0.230363,0.00208035,0.000460217,0.320129,0.0949307,0.0487476,0.225,0.12,0.0960367,0.218472,0.374774,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,10,337.189,0.0733907,0.21308,0.00186013,0.000417959,0.279681,0.099306,0.058022,0.169811,0.12,0.0805181,0.201074,0.311469,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,11,371.508,0.0820149,0.200677,0.00182039,0.00042473,0.308389,0.15057,0.0756925,0.183908,0.213333,0.101696,0.187363,0.410706,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,12,404.414,0.0748409,0.225361,0.00154646,0.000370497,0.282294,0.128072,0.0685853,0.206897,0.16,0.0745573,0.232003,0.287933,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,13,436.983,0.0789678,0.21359,0.00150417,0.000361953,0.301225,0.086842,0.0511307,0.181818,0.213333,0.0944631,0.233914,0.363038,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,14,469.939,0.080113,0.210924,0.00133626,0.000338504,0.300744,0.116182,0.0682792,0.290323,0.12,0.084082,0.194681,0.346017,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,15,502.563,0.0751725,0.215905,0.00129221,0.00032924,0.290962,0.22471,0.0989154,0.239583,0.306667,0.0768256,0.220896,0.309468,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,16,536.439,0.0688803,0.21834,0.0012234,0.000323857,0.277624,0.192932,0.0853215,0.221311,0.36,0.0831672,0.217785,0.341311,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,17,570.068,0.0792356,0.194875,0.00142033,0.000360578,0.297427,0.235413,0.111727,0.202454,0.44,0.0830939,0.182576,0.355549,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,18,605.119,0.0723094,0.193736,0.0013211,0.000355556,0.286058,0.252479,0.1003,0.188525,0.306667,0.0962703,0.21837,0.332262,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,19,637.677,0.0683816,0.197283,0.00124721,0.000352251,0.270611,0.248757,0.10825,0.264706,0.36,0.0856494,0.183868,0.361556,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,20,670.14,0.0795023,0.171208,0.00122031,0.000346521,0.305492,0.315232,0.181272,0.280374,0.4,0.0804486,0.172939,0.294162,0.0001,1e-05
