epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
162,541.085,0.044666,0.197752,0.000717029,0.182482,0.167276,0.106906,0.167276,0.816375,0.0447261,0.201904,0.18828,0.0001,1e-05
163,544.457,0.0383482,0.191062,0.000727928,0.153817,0.175921,0.112327,0.175921,0.8645,0.0436341,0.195428,0.168322,0.0001,1e-05
164,547.711,0.0334219,0.19557,0.000744268,0.140552,0.146148,0.0937191,0.146148,0.881875,0.0369836,0.194175,0.150177,0.0001,1e-05
165,551.191,0.0532991,0.194867,0.000687498,0.173208,0.144675,0.0920698,0.144675,0.862,0.0378646,0.187502,0.154845,0.0001,1e-05
166,554.398,0.034487,0.194322,0.000739807,0.129338,0.174285,0.123792,0.174285,0.879875,0.0400767,0.193023,0.151383,0.0001,1e-05
167,557.733,0.0359757,0.190243,0.00071536,0.142586,0.180192,0.118385,0.180192,0.888125,0.0363563,0.190183,0.144767,0.0001,1e-05
168,561.076,0.0341039,0.192068,0.000726146,0.138717,0.153278,0.0895869,0.153278,0.7915,0.0428162,0.195628,0.200343,0.0001,1e-05
169,564.349,0.0394163,0.196972,0.000715838,0.155772,0.157817,0.0961012,0.157817,0.78925,0.0649699,0.189827,0.237082,0.0001,1e-05
170,567.741,0.0480938,0.192538,0.000699306,0.178075,0.182861,0.103188,0.182861,0.7905,0.0484503,0.191355,0.214738,0.0001,1e-05
171,571.279,0.0460226,0.199369,0.00066219,0.180144,0.20366,0.125007,0.20366,0.85375,0.0385005,0.200874,0.175473,0.0001,1e-05
172,574.599,0.0439202,0.189861,0.000710276,0.167233,0.201181,0.128498,0.201181,0.8835,0.0457141,0.18704,0.163867,0.0001,1e-05
173,578.009,0.0409874,0.184101,0.000718841,0.148456,0.167545,0.106578,0.167545,0.855625,0.050428,0.187673,0.190241,0.0001,1e-05
174,581.275,0.0413621,0.194901,0.00071271,0.175397,0.129987,0.078871,0.129987,0.768125,0.0504979,0.197783,0.210345,0.0001,1e-05
175,584.613,0.0418647,0.194831,0.000747273,0.164865,0.14716,0.0907631,0.14716,0.840625,0.0482626,0.188979,0.191249,0.0001,1e-05
