experiment,param_2d,param_1d,final_epoch,final_mAP50,final_mAP50_95,final_precision,final_recall,final_train_loss_bbox,final_train_loss_ce,final_train_loss_giou,final_val_loss_bbox,final_val_loss_ce,final_val_loss_giou
detr_50_2d9_1d3,9,3,400,0.109848,0.0845353,0.109848,0.898125,0.0267865,0.198363,0.0976831,0.0310195,0.191272,0.130528
detr_50_2d9_1d4,9,4,400,0.196771,0.150843,0.196771,0.900125,0.0289987,0.164686,0.109016,0.035832,0.16803,0.15092
detr_50_2d9_1d5,9,5,400,0.381306,0.298811,0.381306,0.91775,0.0374786,0.133353,0.133313,0.0427025,0.126195,0.166845
detr_50_2d9_1d6,9,6,400,0.837888,0.663524,0.837888,0.85275,0.0450481,0.0484079,0.185775,0.0487816,0.0311946,0.21329
detr_50_2d9_1d7,9,7,400,0.951168,0.731526,0.951168,0.86675,0.0467335,0.0365969,0.21318,0.0530493,0.020703,0.220575
detr_50_2d9_1d8,9,8,400,0.437982,0.326402,0.437982,0.90575,0.0384518,0.122322,0.140949,0.038543,0.113878,0.156214
detr_50_2d9_1d9,9,9,400,0.183878,0.137854,0.183878,0.883375,0.029068,0.175126,0.105114,0.0301684,0.180827,0.123535
detr_50_2d9_1d10,9,10,400,0.289451,0.205683,0.289451,0.9115,0.0257035,0.181795,0.1032,0.0264989,0.181561,0.117021
detr_50_2d10_1d000,10,0,400,0.139493,0.104696,0.139493,0.894125,0.0253891,0.193537,0.0929143,0.0330141,0.199135,0.132029
detr_50_2d10_1d1,10,1,400,0.242825,0.179154,0.242825,0.88675,0.028432,0.165219,0.105852,0.0362475,0.158063,0.151778
detr_50_2d10_1d2,10,2,400,0.240597,0.178923,0.240597,0.90525,0.0284516,0.178301,0.103514,0.0332181,0.167703,0.135825
detr_50_2d10_1d3,10,3,400,0.605926,0.470248,0.605926,0.898375,0.0422166,0.126651,0.147797,0.0448953,0.107506,0.168798
detr_50_2d10_1d4,10,4,400,0.891453,0.694026,0.891453,0.888375,0.0493027,0.0554008,0.1833,0.0517608,0.0385747,0.211104
detr_50_2d10_1d5,10,5,400,0.166047,0.0983711,0.166047,0.896375,0.0254269,0.187504,0.0988525,0.0333044,0.185427,0.138124
detr_50_2d10_1d6,10,6,400,0.286001,0.211338,0.286001,0.9135,0.0308904,0.15752,0.114197,0.0362032,0.154549,0.147507
detr_50_2d10_1d7,10,7,400,0.33619,0.276012,0.33619,0.922,0.0336725,0.139577,0.128042,0.0386778,0.125828,0.142893
detr_50_2d10_1d8,10,8,400,0.122234,0.09277,0.122234,0.916875,0.0223946,0.19523,0.0941517,0.028458,0.189644,0.120583
detr_50_2d10_1d9,10,9,400,0.195421,0.14812,0.195421,0.89725,0.0233095,0.19396,0.0888884,0.0303888,0.189928,0.1332
detr_50_2d10_1d10,10,10,400,0.416794,0.346433,0.416794,0.906875,0.0435826,0.109604,0.147293,0.0486225,0.0916,0.179409
