epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
120,386.882,0.0314695,0.207753,0.000262945,0.133032,0.0841148,0.0536555,0.0841148,0.83875,0.046763,0.204336,0.193756,0.0001,1e-05
121,390.162,0.0418575,0.210014,0.000263255,0.159047,0.0893084,0.0590463,0.0893084,0.8525,0.0396288,0.204195,0.167517,0.0001,1e-05
122,393.382,0.0376114,0.203469,0.000248509,0.152905,0.0941052,0.0693988,0.0941052,0.861125,0.0353909,0.205798,0.148023,0.0001,1e-05
123,396.532,0.0340573,0.205075,0.00025824,0.137774,0.0916798,0.0691038,0.0916798,0.85325,0.0310185,0.206401,0.146511,0.0001,1e-05
124,399.813,0.0291132,0.199477,0.000259237,0.13236,0.117147,0.0852854,0.117147,0.8495,0.0327716,0.204148,0.153098,0.0001,1e-05
125,402.908,0.0320877,0.210723,0.000257266,0.125219,0.116041,0.0820012,0.116041,0.825625,0.0385493,0.204753,0.173164,0.0001,1e-05
126,406.095,0.0320935,0.204989,0.000256032,0.126229,0.0978339,0.0722675,0.0978339,0.858875,0.0314361,0.20404,0.134622,0.0001,1e-05
127,409.393,0.0673571,0.212189,0.000245973,0.202948,0.0823585,0.06067,0.0823585,0.79425,0.0566858,0.206309,0.219,0.0001,1e-05
128,412.711,0.0440978,0.206471,0.000241034,0.165113,0.0784627,0.0554284,0.0784627,0.811125,0.0416157,0.20717,0.181733,0.0001,1e-05
129,416.028,0.0344381,0.20855,0.000250268,0.150666,0.0759986,0.0546431,0.0759986,0.8455,0.0354567,0.206946,0.156405,0.0001,1e-05
130,419.229,0.0383479,0.20415,0.000243965,0.144178,0.0694787,0.0499118,0.0694787,0.836125,0.0375362,0.205021,0.18957,0.0001,1e-05
131,422.356,0.0361103,0.206398,0.000250797,0.162485,0.0647873,0.0439393,0.0647873,0.836625,0.0391535,0.203245,0.17943,0.0001,1e-05
132,425.797,0.0339617,0.207449,0.00022777,0.139031,0.06386,0.045576,0.06386,0.851375,0.0393317,0.207464,0.157766,0.0001,1e-05
133,429.026,0.0329523,0.203223,0.00023942,0.131273,0.0646789,0.0445921,0.0646789,0.8525,0.0355834,0.205402,0.142038,0.0001,1e-05
134,432.331,0.0352147,0.209205,0.000230699,0.135825,0.0670132,0.0452427,0.0670132,0.814375,0.0473499,0.201522,0.20887,0.0001,1e-05
135,435.722,0.0405331,0.205244,0.000232226,0.159438,0.0746958,0.0519609,0.0746958,0.84825,0.046648,0.199848,0.176145,0.0001,1e-05
136,438.882,0.04425,0.205238,0.000246317,0.180387,0.0707778,0.0481931,0.0707778,0.778375,0.0474211,0.200971,0.213331,0.0001,1e-05
137,442.091,0.0336613,0.205822,0.000251502,0.155607,0.0741426,0.0556552,0.0741426,0.87875,0.0338007,0.20384,0.143932,0.0001,1e-05
138,445.257,0.0382793,0.208111,0.00024681,0.141683,0.0745332,0.0535731,0.0745332,0.83125,0.0365157,0.205838,0.158071,0.0001,1e-05
139,448.423,0.0371862,0.205547,0.000252855,0.157383,0.087943,0.0664869,0.087943,0.863125,0.0365902,0.200757,0.154232,0.0001,1e-05
140,451.908,0.0420102,0.202802,0.000229888,0.177927,0.0883314,0.0657747,0.0883314,0.82475,0.0371354,0.201721,0.177965,0.0001,1e-05
